tag_name,tag_popularity_rank,tag_tier,trending_appearances,unique_videos,unique_channels,total_views,avg_views_per_entry,avg_engagement_rate,avg_like_ratio,engagement_efficiency,recommendation,_bc_ingested_at
daddy yankee reggaeton,419,Niche,25,1,1,735203270,29408131,2.508,93.916,0.77,Low Priority,2026-05-02 19:45:17
daddy yankee oficial,419,Niche,25,1,1,735203270,29408131,2.508,93.916,0.77,Low Priority,2026-05-02 19:45:17
hielo,419,Niche,25,1,1,735203270,29408131,2.508,93.916,0.77,Low Priority,2026-05-02 19:45:17
daddy yankee hielo,419,Niche,25,1,1,735203270,29408131,2.508,93.916,0.77,Low Priority,2026-05-02 19:45:17
trap latino,419,Niche,25,1,1,735203270,29408131,2.508,93.916,0.77,Low Priority,2026-05-02 19:45:17
daddy yankee mp3,419,Niche,25,1,1,735203270,29408131,2.508,93.916,0.77,Low Priority,2026-05-02 19:45:17
ryan,436,Niche,203,25,6,728974166,3591006,3.936,93.278,0.74,Low Priority,2026-05-02 19:45:17
harmonizers,437,Niche,73,9,4,722678531,9899706,6.113,98.043,1.42,Hidden Gem,2026-05-02 19:45:17
queen,438,Niche,118,14,13,721577730,6115066,5.129,94.378,1.073,Hidden Gem,2026-05-02 19:45:17
kylie jenner,439,Niche,253,39,22,720892114,2849376,2.875,91.032,0.519,Low Priority,2026-05-02 19:45:17
lovato,440,Niche,35,4,2,720518513,20586243,6.792,97.908,1.895,Hidden Gem,2026-05-02 19:45:17
2017,441,Niche,682,142,86,718838702,1054016,4.966,93.885,0.761,Low Priority,2026-05-02 19:45:17
worth it,442,Niche,136,16,6,714822240,5256046,3.571,94.676,0.726,Low Priority,2026-05-02 19:45:17
highlights,443,Niche,532,121,24,712745002,1339746,1.423,89.454,0.227,Low Priority,2026-05-02 19:45:17
hulk,444,Niche,109,11,10,709441908,6508641,4.535,96.896,0.965,Low Priority,2026-05-02 19:45:17
syco music/epic,445,Niche,59,7,2,709252932,12021236,6.015,97.951,1.469,Hidden Gem,2026-05-02 19:45:17
boyfriend,446,Niche,240,31,21,708995436,2954148,6.865,95.61,1.252,Hidden Gem,2026-05-02 19:45:17
song,447,Niche,447,64,35,708683639,1585422,5.628,95.943,0.922,Low Priority,2026-05-02 19:45:17
atlantic records,448,Niche,206,22,11,706990233,3431991,4.338,97.591,0.813,Low Priority,2026-05-02 19:45:17
drama,449,Niche,563,103,35,705434590,1252992,2.505,90.074,0.395,Low Priority,2026-05-02 19:45:17
simon cowell,450,Niche,120,16,5,701619414,5846828,3.394,96.992,0.708,Low Priority,2026-05-02 19:45:17
baby,451,Niche,211,41,26,701118074,3322834,3.094,95.032,0.578,Low Priority,2026-05-02 19:45:17
kitchen,452,Niche,444,63,21,699961570,1576490,4.835,96.153,0.793,Low Priority,2026-05-02 19:45:17
for,453,Niche,89,14,14,695212511,7811377,4.627,96.482,1.028,Hidden Gem,2026-05-02 19:45:17
jeff goldblum,454,Niche,87,9,7,693238414,7968258,1.584,95.521,0.354,Low Priority,2026-05-02 19:45:17
tips,455,Niche,227,29,19,692562158,3050935,4.628,95.444,0.852,Low Priority,2026-05-02 19:45:17
host,456,Niche,390,79,10,690518267,1770560,1.637,91.03,0.274,Low Priority,2026-05-02 19:45:17
nba,457,Niche,628,148,33,686955332,1093878,1.623,89.861,0.252,Low Priority,2026-05-02 19:45:17
challenges,458,Niche,289,31,13,681340497,2357580,4.127,93.709,0.728,Low Priority,2026-05-02 19:45:17
meghan markle,459,Niche,221,30,21,678366401,3069531,1.927,88.817,0.357,Low Priority,2026-05-02 19:45:17
deadpool,460,Niche,96,14,9,670551269,6984909,3.392,97.937,0.741,Low Priority,2026-05-02 19:45:17
experiment,461,Niche,335,45,22,670390746,2001166,2.601,90.834,0.447,Low Priority,2026-05-02 19:45:17
ridiculous,462,Niche,98,8,3,669198616,6828557,3.737,92.999,0.813,Low Priority,2026-05-02 19:45:17
girlfriend,463,Niche,208,23,18,668973340,3216218,5.81,94.838,1.088,Hidden Gem,2026-05-02 19:45:17
camila cabello,464,Niche,245,37,26,667673973,2725200,5.951,96.843,1.081,Hidden Gem,2026-05-02 19:45:17
chun-li,465,Niche,58,3,2,667433581,11507476,4.305,93.182,1.056,Hidden Gem,2026-05-02 19:45:17
kids,466,Niche,453,68,41,667352628,1473185,4.273,92.293,0.698,Low Priority,2026-05-02 19:45:17
young,467,Niche,99,14,13,665453421,6721752,4.43,93.609,0.962,Low Priority,2026-05-02 19:45:17
how-to,468,Niche,249,32,14,661837908,2657984,5.309,95.982,0.962,Low Priority,2026-05-02 19:45:17
laugh,469,Niche,412,70,23,661646157,1605937,2.624,91.187,0.436,Low Priority,2026-05-02 19:45:17
movie trailer,470,Niche,104,10,7,660463208,6350608,2.018,87.864,0.434,Low Priority,2026-05-02 19:45:17
nicki,471,Niche,41,4,4,658959824,16072191,3.835,92.02,1.026,Hidden Gem,2026-05-02 19:45:17
minaj,471,Niche,41,4,4,658959824,16072191,3.835,92.02,1.026,Hidden Gem,2026-05-02 19:45:17
incredibles,473,Niche,50,4,3,657249518,13144990,2.154,93.525,0.548,Low Priority,2026-05-02 19:45:17
frozone,474,Niche,45,3,2,656819440,14595988,2.198,93.677,0.574,Low Priority,2026-05-02 19:45:17
alternative,475,Niche,363,50,33,656089301,1807409,5.417,97.672,0.919,Low Priority,2026-05-02 19:45:17
paul,476,Niche,106,19,12,654205854,6171753,6.569,80.752,1.406,Hidden Gem,2026-05-02 19:45:17
prince harry,477,Niche,174,26,19,653744137,3757150,1.479,87.1,0.286,Low Priority,2026-05-02 19:45:17
smith,478,Niche,197,40,10,647048393,3284510,3.838,97.018,0.726,Low Priority,2026-05-02 19:45:17
la,479,Niche,91,18,15,645023558,7088171,4.443,93.292,0.983,Low Priority,2026-05-02 19:45:17
wakanda,480,Niche,67,9,8,641039137,9567748,3.47,96.114,0.822,Low Priority,2026-05-02 19:45:17
star wars,481,Niche,502,86,53,639351659,1273609,3.832,93.488,0.616,Low Priority,2026-05-02 19:45:17
captain america,482,Niche,73,8,7,635115303,8700210,3.111,96.792,0.723,Low Priority,2026-05-02 19:45:17
chris pratt,483,Niche,126,20,15,631389590,5011028,3.211,96.025,0.663,Low Priority,2026-05-02 19:45:17
jennifer lopez,484,Niche,49,5,4,629383191,12844555,2.478,93.615,0.633,Low Priority,2026-05-02 19:45:17
royal wedding,485,Niche,151,18,13,625455648,4142090,1.287,90.367,0.256,Low Priority,2026-05-02 19:45:17
shakira,486,Niche,40,4,3,624178131,15604453,2.741,88.26,0.738,Low Priority,2026-05-02 19:45:17
friends,487,Niche,275,43,31,622666423,2264242,5.264,95.842,0.937,Low Priority,2026-05-02 19:45:17
ricky martin,488,Niche,47,6,5,622462156,13243876,2.675,89.01,0.691,Low Priority,2026-05-02 19:45:17
adventure,489,Niche,329,45,20,620981887,1887483,3.571,91.978,0.616,Low Priority,2026-05-02 19:45:17
vlogger,490,Niche,436,58,32,619506052,1420885,6.985,96.229,1.149,Hidden Gem,2026-05-02 19:45:17
edna mode,491,Niche,44,3,2,617872075,14042547,2.152,93.835,0.565,Low Priority,2026-05-02 19:45:17
elastigirl,491,Niche,44,3,2,617872075,14042547,2.152,93.835,0.565,Low Priority,2026-05-02 19:45:17
nigahiga,493,Niche,97,9,2,617740167,6368455,7.078,98.137,1.544,Hidden Gem,2026-05-02 19:45:17
deadpool movie,494,Niche,57,7,2,617451856,10832489,2.946,98.404,0.726,Low Priority,2026-05-02 19:45:17
james corden,495,Niche,390,99,9,614776545,1576350,2.245,92.715,0.376,Low Priority,2026-05-02 19:45:17
anvil vs,496,Niche,77,7,2,613912222,7972886,3.559,92.272,0.817,Low Priority,2026-05-02 19:45:17
how ridiculous,496,Niche,77,7,2,613912222,7972886,3.559,92.272,0.817,Low Priority,2026-05-02 19:45:17
magnus effect,496,Niche,77,7,2,613912222,7972886,3.559,92.272,0.817,Low Priority,2026-05-02 19:45:17
anvil drop test,499,Niche,73,6,2,612998304,8397237,3.546,91.912,0.824,Low Priority,2026-05-02 19:45:17
rc cars,500,Niche,75,6,1,612065519,8160874,3.556,92.286,0.821,Low Priority,2026-05-02 19:45:17
