trending_date,top1_share_pct
2017-11-23,42.7
2017-11-24,45.8
2017-11-25,47.5
2017-11-26,46.2
2017-12-01,42.5
2017-12-02,58.9
2017-12-03,54.7
2017-12-04,51.3
2017-12-05,47.7
2017-12-06,44.9
2017-12-10,45.7
2017-12-11,44.7
2017-12-12,54.3
2017-12-13,54.2
2017-12-14,53.9
2018-01-12,50.2
2018-01-19,40.1
2018-03-28,42.2
2018-05-27,41.6
2018-05-30,40.7
2018-05-31,40.1
2018-06-02,49.7
